,time,spline,prediction,target
0,0.010753989,-162.11621,-476.4274,255.62457
1,0.01075545,164.45422,164.45422,383.4527
2,0.010756916,409.9488,409.9488,409.9488
3,0.010758401,537.7401,246.29984,382.24954
4,0.010759893,555.6775,555.6775,276.56598
5,0.010761406,485.94623,485.94623,192.941
6,0.010762947,350.26718,399.66818,181.81598
7,0.010764499,174.90192,174.90192,174.90192
8,0.010766064,-13.29082,-13.29082,21.870672
9,0.010767645,-186.20844,42.92462,-100.609795
10,0.010769282,-316.00143,-316.00143,-110.87541
11,0.010770887,-363.70026,-363.70026,-279.95355
12,0.002200139,129.10745,-754.2347,129.10745
13,0.002201789,-186.55081,-186.55081,363.13443
14,0.002203333,-441.52545,-441.52545,242.60764
15,0.002204805,-651.0937,-1219.5259,-251.86931
16,0.002206322,-835.67224,-835.67224,-728.39655
17,0.002207932,-999.9012,-999.9012,-999.9012
18,0.002209557,-1136.0421,-1014.6122,-429.8
19,0.002211155,-1244.3369,-1244.3369,-84.41088
20,0.002212736,-1329.8442,-1329.8442,-235.9073
21,0.00221432,-1397.2268,-1133.2894,-814.66583
22,0.002215953,-1451.0085,-1451.0085,-1451.0085
23,0.002217638,-1490.6963,-1490.6963,-653.4938
24,0.002219328,-1503.806,-561.63043,90.14554
25,0.002221021,-1476.5735,-1476.5735,397.68872
26,0.002222694,-1396.6742,-1396.6742,-577.48627
27,0.002224369,-1250.7056,-192.1401,-1250.7056
28,0.002225997,-1041.0,-1041.0,-1394.4088
29,0.002227613,-793.8584,-793.8584,-722.6625
30,0.002229199,-547.14685,-122.510155,-243.51633
31,0.002230778,-330.1671,-330.1671,210.20639
32,0.00223235,-174.68573,-174.68573,-174.68573
33,0.002233915,-101.45293,72.98984,703.278
34,0.002235514,-90.538734,-90.538734,1004.6513
35,0.002237114,-113.029335,-113.029335,438.89764
36,0.002238688,-137.21123,261.87146,38.475636
37,0.002240268,-133.17996,-133.17996,-133.17996
38,0.002241863,-78.01047,-78.01047,-452.00705
39,0.002243405,13.633164,254.72261,80.53376
40,0.002244908,122.02877,122.02877,478.6562
